"Naurea - Sexta-Feira","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","4'15""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Que Oração","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'35""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Bomfim","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","6'07""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Pra Ingrês Vê","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'05""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Sambaião Serial","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'07""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Dorival Caymmi","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","4'28""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Manga Verde","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","5'42""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Hoje Tem Forró","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'30""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - A Peleja de Lampião","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","4'42""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Bebo Menino","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","6'03""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
